Structure_ID,Structure_Number,Line_Name,Number_of_Circuits,Structure_Status,Structure_Owner,Old_Primary_Circuit_ID,Structure_Comments,Structure_Global_ID,Structure_Object_ID,Inspection_Date,Inspection_Comments,Inspection_Attribute_Name,Inspection_Status,WorkOrder_Name,WorkOrder_Status,WorkOrder_Due_Date,WorkOrder_Created_By,WorkOrder_Assigned_Date,WorkOrder_Assigned_To
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:52.1744852,,BONDING,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:52.5325235,,ENCROACHMENTS,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:51.9604641,,STRUCTURE APPEARANCE,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:52.2184902,,ANCHOR,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2012-05-14 00:00:00.0000000,BOTH POLES REJECTED / ,GROUNDLINE : C-Pole,REJECT,LONDON - SWEET HOLLOW 2012,Completed,,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2012-05-14 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.7821265,,ENCROACHMENTS,GOOD,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.7511225,,RIGHT OF WAY,GOOD,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.4421127,Changed entire structure. Reason for this replacement is 'Reject',GROUNDLINE : L-Pole,REPLACED,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.5971299,,BRACING,GOOD,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.5351237,,CONDITION ABOVE GROUNDLINE : R-Pole,GOOD,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:02.9786096,,CONDUCTOR,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:02.3095582,,OTHER: Leg 4,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:00.4874031,,FOUNDATION: Leg 4,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:01.1264497,,DIAGONAL: Leg 2,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
