ID,PIC_NUM,PIC_DATE,IMAGE_NAME,PIC_LAT,PIC_LONG,PIC_DIR,UPLOAD_DATE,SOURCE_TYPE_ID,OBJECT_ID,OBJECT_TYPE_ID,SOURCE_ID,WO_ID,SEQUENCE,FILE_NAME,FILE_PATH,COMMENTS,SEQ_ID,STATUS_ID,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,THUMBNAIL_URL,STANDARDSIZE_URL,ACTUALSIZE_URL,IMAGEGENERATED
1A0E9B9D-F27F-4755-B55E-0001D41FC354,,2024-11-02 15:30:35.9870472,df375655-4a0d-490a-9e8b-1fb8f47dcbe5_0.9975831311601081.png,,,,2024-11-02 15:30:35.9870472,,DF375655-4A0D-490A-9E8B-1FB8F47DCBE5,51EABFD8-E655-43A6-A4B9-DE518B0A32B1,,48F16523-254B-4B0B-9625-57F04E128AF5,,493A7817-E7F2-4DA5-85BA-893B39A9F11E,,,,,84084EBB-E096-42E4-8959-303AC8976A07,2024-11-02 15:30:35.987,84084EBB-E096-42E4-8959-303AC8976A07,2024-11-02 15:30:35.987,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/df375655-4a0d-490a-9e8b-1fb8f47dcbe5_0.9975831311601081.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/df375655-4a0d-490a-9e8b-1fb8f47dcbe5_0.9975831311601081.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/df375655-4a0d-490a-9e8b-1fb8f47dcbe5_0.9975831311601081.png,False
DD208A27-ABF4-49A4-99F6-0001E25C77ED,1.0,2018-11-23 21:27:30.0000000,Farnsley 6636 (SD-9) - Paddys Run 6636 (SD-34)_52_8_121717_KYSPn_v1,38.21681989,-85.84788733,,2018-11-23 21:27:30.0000000,,94A9B928-7C8A-406B-9E8D-B716F9E727E5,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,,,Farnsley 6636 (SD-9) - Paddys Run 6636 (SD-34)_52_8_121717_KYSPn_v1.JPG,Farnsley 6636 (SD-9) - Paddys Run 6636 (SD-34)_52_8_121717_KYSPn_v1.JPG,Oblique,1.0,,B2664175-236C-4915-B607-28E916C1F58F,2018-11-23 21:27:30.000,B2664175-236C-4915-B607-28E916C1F58F,2018-11-23 21:27:30.000,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/dd208a27-abf4-49a4-99f6-0001e25c77ed.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/dd208a27-abf4-49a4-99f6-0001e25c77ed.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/dd208a27-abf4-49a4-99f6-0001e25c77ed.jpg,True
120B2920-F616-4D0A-B89C-000215DA0859,,2023-09-13 15:10:56.9064464,97f7507c-e28e-441e-adfd-b22a3f52835e_695008_119_09132023_1110_2.png,,,,2023-09-13 15:10:56.9064464,,97F7507C-E28E-441E-ADFD-B22A3F52835E,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,8B940FC6-2E12-4E76-8FD4-7888CF8007F5,,F8B047AE-B097-425B-A57B-8E09DF93CABC,,,,,E637B494-DFE0-4151-8E8A-B08F000E2835,2023-09-13 15:10:56.907,E637B494-DFE0-4151-8E8A-B08F000E2835,2023-09-13 15:10:56.907,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/97f7507c-e28e-441e-adfd-b22a3f52835e_695008_119_09132023_1110_2.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/97f7507c-e28e-441e-adfd-b22a3f52835e_695008_119_09132023_1110_2.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/97f7507c-e28e-441e-adfd-b22a3f52835e_695008_119_09132023_1110_2.png,False
DE215B29-17BE-43E1-BCE1-00022381674F,1.0,2022-07-19 00:00:00.0000000,Breckenridge 3872 (Sd-17) - Ethel 3872 (Sd-7)_64_37_07212022_KYSPn_v1.jpg,1573415.522,202884.195,0,2023-06-19 00:00:00.0000000,,A1870E26-C8BC-4120-A845-EDF2FB6C470E,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,,,Breckenridge 3872 (Sd-17) - Ethel 3872 (Sd-7)_64_37_07212022_KYSPn_v1.jpg,,,1.0,,,2022-07-19 00:00:00.000,,2023-12-10 00:00:00.000,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/DE215B29-17BE-43E1-BCE1-00022381674F-Breckenridge_3872_(Sd-17)_-_Ethel_3872_(Sd-7)_64_37_07212022_KYSPn_v1.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/DE215B29-17BE-43E1-BCE1-00022381674F-Breckenridge_3872_(Sd-17)_-_Ethel_3872_(Sd-7)_64_37_07212022_KYSPn_v1.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/DE215B29-17BE-43E1-BCE1-00022381674F-Breckenridge_3872_(Sd-17)_-_Ethel_3872_(Sd-7)_64_37_07212022_KYSPn_v1.jpg,False
F0321F82-E3C4-4253-A3EA-00028DDE6D75,,2017-07-17 13:58:02.4937993,692007_044_07172017_0957_1,,,,2017-07-17 13:58:02.4937993,,5B40AA86-49F7-45FF-8427-136E17C54262,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,A0B4B0FE-D7ED-4DD6-8A1C-E65C170F9C43,,692007_044_07172017_0957_1.png,\Photos\CapturedPhotos\Actual\5b40aa86-49f7-45ff-8427-136e17c54262\692007_044_07172017_0957_1.png,1,,,CB7915FB-E06D-4D6A-B490-37A2634AF359,2017-07-17 13:58:02.493,CB7915FB-E06D-4D6A-B490-37A2634AF359,2017-07-17 13:58:02.493,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/5b40aa86-49f7-45ff-8427-136e17c54262_692007_044_07172017_0957_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/5b40aa86-49f7-45ff-8427-136e17c54262_692007_044_07172017_0957_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/5b40aa86-49f7-45ff-8427-136e17c54262_692007_044_07172017_0957_1.png,True
8C4C83E7-4C00-41DD-8F04-00029574E659,,2021-04-21 19:07:53.9165158,bbb17801-5393-4c10-9747-6627f5b24c5b_692022_1_04212021_1507_1.png,,,,2021-04-21 19:07:53.9165158,,BBB17801-5393-4C10-9747-6627F5B24C5B,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,9A030E93-7687-4694-A2EF-5E9BD0BADF28,,00104F86-DE9E-4CBA-9C80-DDEFDA11ED70,,,,,91D41F08-49F4-4F7A-A6EC-60C3F177727D,2021-04-21 19:07:53.917,91D41F08-49F4-4F7A-A6EC-60C3F177727D,2021-04-21 19:07:53.917,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/bbb17801-5393-4c10-9747-6627f5b24c5b_692022_1_04212021_1507_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/bbb17801-5393-4c10-9747-6627f5b24c5b_692022_1_04212021_1507_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/bbb17801-5393-4c10-9747-6627f5b24c5b_692022_1_04212021_1507_1.png,False
A624C7C5-C8CD-4CCB-A45E-0002A1583D53,,2022-06-02 18:54:38.4533917,a2ac431d-c0c7-4a31-b74a-d3d198c832bc_693053_112_06022022_1454_2.png,,,,2022-06-02 18:54:38.4533917,,A2AC431D-C0C7-4A31-B74A-D3D198C832BC,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,CDA5D24E-8A8D-4E7F-84FB-330582D18BA8,,86BFB162-068D-4857-992B-D9FE017B1F7C,,,,,DCFB9D96-4D9C-4727-A894-E027B6C26DD5,2022-06-02 18:54:38.453,DCFB9D96-4D9C-4727-A894-E027B6C26DD5,2022-06-02 18:54:38.453,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/a2ac431d-c0c7-4a31-b74a-d3d198c832bc_693053_112_06022022_1454_2.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/a2ac431d-c0c7-4a31-b74a-d3d198c832bc_693053_112_06022022_1454_2.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/a2ac431d-c0c7-4a31-b74a-d3d198c832bc_693053_112_06022022_1454_2.png,False
6A437CA8-4C94-4FCE-8306-0002A6A0635C,1.0,2018-11-23 08:10:06.0000000,Dorchester 072 (634)-Dixiana 310_48_46_121517_VASPs_v1,36.97421939,-82.62698411,,2018-11-23 08:10:06.0000000,,AE02A25D-3F15-42BB-816D-6D737EB24E69,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,,,Dorchester 072 (634)-Dixiana 310_48_46_121517_VASPs_v1.JPG,Dorchester 072 (634)-Dixiana 310_48_46_121517_VASPs_v1.JPG,Oblique,1.0,,B2664175-236C-4915-B607-28E916C1F58F,2018-11-23 08:10:06.000,B2664175-236C-4915-B607-28E916C1F58F,2018-11-23 08:10:06.000,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/6a437ca8-4c94-4fce-8306-0002a6a0635c.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/6a437ca8-4c94-4fce-8306-0002a6a0635c.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/6a437ca8-4c94-4fce-8306-0002a6a0635c.jpg,True
FA689F78-4574-4449-8207-0002FA0CE51A,,2024-07-29 13:44:56.3854531,9380da77-234d-4dc6-8923-b80ce3a81837_692052_33_07292024_0942_4.png,,,,2024-07-29 13:44:56.3854531,,9380DA77-234D-4DC6-8923-B80CE3A81837,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,0CEF0916-8808-4BE2-AE15-ED8D99F59979,,82275925-B286-49A5-8AB7-FECE1045AF3D,,,,,5B22053B-31B9-4E43-A58E-F26BD280DBA3,2024-07-29 13:44:56.387,5B22053B-31B9-4E43-A58E-F26BD280DBA3,2024-07-29 13:44:56.387,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/9380da77-234d-4dc6-8923-b80ce3a81837_692052_33_07292024_0942_4.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/9380da77-234d-4dc6-8923-b80ce3a81837_692052_33_07292024_0942_4.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/9380da77-234d-4dc6-8923-b80ce3a81837_692052_33_07292024_0942_4.png,False
A734B402-CE79-4D4A-A6B2-000303085E6F,,2023-01-11 19:10:35.4428831,4f44df65-72c0-43d8-806f-5cbb9748bb7c_692001_198_01112023_1410_1.png,,,,2023-01-11 19:10:35.4428831,,4F44DF65-72C0-43D8-806F-5CBB9748BB7C,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,83B7B091-78BA-4996-A9F4-AAA459FADC7C,,17941800-B5BF-477A-A843-F0F92EF80DE4,,,,,E637B494-DFE0-4151-8E8A-B08F000E2835,2023-01-11 19:10:35.443,E637B494-DFE0-4151-8E8A-B08F000E2835,2023-01-11 19:10:35.443,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/4f44df65-72c0-43d8-806f-5cbb9748bb7c_692001_198_01112023_1410_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/4f44df65-72c0-43d8-806f-5cbb9748bb7c_692001_198_01112023_1410_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/4f44df65-72c0-43d8-806f-5cbb9748bb7c_692001_198_01112023_1410_1.png,False
